productµversionµaction_set_nameµset_linkµset_description
SAS Data Qualityµ2021.2µEntity Resolutionµ/doc/en/pgmsascdc/v_019/casactdq/cas-entityres-TblOfActions.htmµActions used in Data Management Entity Resolution
SAS Data Qualityµ2021.2µQKBµ/doc/en/pgmsascdc/v_019/casactdq/cas-qkb-TblOfActions.htmµProvides actions for importing and managing QKBs
SAS Visual Text Analyticsµ2021.2µText Summarizationµ/doc/en/pgmsascdc/v_019/casvtapg/cas-textsummarization-TblOfActions.htmµProvides an action for summarizing text data
SAS Visual Text Analyticsµ2021.2µText Topicsµ/doc/en/pgmsascdc/v_019/casvtapg/cas-texttopic-TblOfActions.htmµProvides a variety of topic actions for text analytics.
SAS Visual Text Analyticsµ2021.2µText Utilitiesµ/doc/en/pgmsascdc/v_019/casvtapg/cas-textutil-TblOfActions.htmµProvides a variety of utility actions for text analytics
SAS Optimizationµ2021.2µNetwork Optimizationµ/doc/en/pgmsascdc/v_019/casactnopt/cas-optnetwork-TblOfActions.htmµProvides actions for combinatorial and network flow optimization
SAS Optimizationµ2021.2µOptimizationµ/doc/en/pgmsascdc/v_019/casactmopt/cas-optimization-TblOfActions.htmµProvides actions for solving optimization problems
SAS Econometricsµ2021.2µAggregate Loss Modelingµ/doc/en/pgmsascdc/v_019/casactecon/cas-cdm-TblOfActions.htmµ"Provides an action for modeling aggregate losses by using the compound distribution
               models"
SAS Econometricsµ2021.2µCopula Modelingµ/doc/en/pgmsascdc/v_019/casactecon/cas-copula-TblOfActions.htmµProvides actions for modeling various copulas
SAS Econometricsµ2021.2µCount Data Regression Modelingµ/doc/en/pgmsascdc/v_019/casactecon/cas-countreg-TblOfActions.htmµProvides actions for modeling count data by using nonlinear regression
SAS Econometricsµ2021.2µEconometrics by Using Deep Learning Methodsµ/doc/en/pgmsascdc/v_019/casactecon/cas-deepecon-TblOfActions.htmµProvides actions for econometrics by using deep learning methods
SAS Econometricsµ2021.2µEconomic Capital Modelingµ/doc/en/pgmsascdc/v_019/casactecon/cas-ecm-TblOfActions.htmµProvides an action for developing an economic capital model
SAS Econometricsµ2021.2µHidden Markov Modelµ/doc/en/pgmsascdc/v_019/casactecon/cas-hiddenmarkovmodel-TblOfActions.htmµProvides an action for fitting hidden Markov models
SAS Econometricsµ2021.2µMarket Analysisµ/doc/en/pgmsascdc/v_019/casactecon/cas-marketattribution-TblOfActions.htmµProvides actions for market analysis
SAS Econometricsµ2021.2µPanel Data Regression Modelingµ/doc/en/pgmsascdc/v_019/casactecon/cas-panel-TblOfActions.htmµProvides an action for panel data econometrics
SAS Visual Data Mining and Machine Learningµ2021.2µAccess Controlµ/doc/en/pgmsascdc/v_019/caspg/cas-accesscontrol-TblOfActions.htmµProvides actions for managing user access to resources
SAS Visual Data Mining and Machine Learningµ2021.2µActive Machine Learningµ/doc/en/pgmsascdc/v_019/casactml/cas-activelearn-TblOfActions.htmµ"Provides an action set for performing active learning which interactively query the
               user in order to minimize the labeling effort"
SAS Visual Data Mining and Machine Learningµ2021.2µAggregationµ/doc/en/pgmsascdc/v_019/casanpg/cas-aggregation-TblOfActions.htmµProvides actions for aggregating the values of one or more variables
SAS Visual Data Mining and Machine Learningµ2021.2µAnalytic Store Scoringµ/doc/en/pgmsascdc/v_019/casactml/cas-astore-TblOfActions.htmµProvides actions for scoring using an analytic store
SAS Visual Data Mining and Machine Learningµ2021.2µAssociation Rule Miningµ/doc/en/pgmsascdc/v_019/casactml/cas-rulemining-TblOfActions.htmµProvides actions for association rule mining
SAS Visual Data Mining and Machine Learningµ2021.2µAudioµ/doc/en/pgmsascdc/v_019/casactml/cas-audio-TblOfActions.htmµProvides actions for processing audio data
SAS Econometricsµ2021.2µQualitative and Limited Dependent Variable Modelingµ/doc/en/pgmsascdc/v_019/casactecon/cas-qlim-TblOfActions.htmµProvides actions for analyzing limited dependent variable models.
SAS Econometricsµ2021.2µSequential Monte Carlo Action Setµ/doc/en/pgmsascdc/v_019/casactecon/cas-smc-TblOfActions.htmµProvides actions for sequential Monte Carlo method
SAS Econometricsµ2021.2µSeverity Distribution Modelingµ/doc/en/pgmsascdc/v_019/casactecon/cas-severity-TblOfActions.htmµProvides actions for modeling severity distributions of losses
SAS Econometricsµ2021.2µSpatial Data Regression Modelingµ/doc/en/pgmsascdc/v_019/casactecon/cas-spatialreg-TblOfActions.htmµProvides an action for modeling spatial data
SAS Econometricsµ2021.2µState Space Modeling (ssm)µ/doc/en/pgmsascdc/v_019/casactecon/cas-ssm-TblOfActions.htmµProvides actions for state space modeling
SAS Econometricsµ2021.2µStochastic Frontier Production and Cost Modelingµ/doc/en/pgmsascdc/v_019/casactecon/cas-frontier-TblOfActions.htmµProvides actions for analyzing stochastic frontier production and cost models.
SAS Econometricsµ2021.2µTime Series Information Analysisµ/doc/en/pgmsascdc/v_019/casactecon/cas-tsinfo-TblOfActions.htmµProvides actions for time series information analysis
SAS Econometricsµ2021.2µTime Series Processingµ/doc/en/pgmsascdc/v_019/casactecon/cas-timedata-TblOfActions.htmµProvides actions for time series processing
SAS Econometricsµ2021.2µUnivariate Time Series Analysisµ/doc/en/pgmsascdc/v_019/casactecon/cas-unitimeseries-TblOfActions.htmµProvides actions for univariate time series analysis
SAS Visual Data Mining and Machine Learningµ2021.2µAutotuneµ/doc/en/pgmsascdc/v_019/casactml/cas-autotune-TblOfActions.htmµ"Provides actions to tune machine learning algorithm hyperparameters for individual
               or multiple model types"
SAS Visual Data Mining and Machine Learningµ2021.2µBayesian Net Classifierµ/doc/en/pgmsascdc/v_019/casactml/cas-bayesiannetclassifier-TblOfActions.htmµUses Bayesian network models to classify the target variable
SAS Visual Data Mining and Machine Learningµ2021.2µBioMedImageµ/doc/en/pgmsascdc/v_019/casactml/cas-biomedimage-TblOfActions.htmµProvides actions for biomedical image processing
SAS Visual Data Mining and Machine Learningµ2021.2µBoolean Ruleµ/doc/en/pgmsascdc/v_019/casactml/cas-boolrule-TblOfActions.htmµProvides actions for Boolean rule extraction and scoring
SAS Visual Data Mining and Machine Learningµ2021.2µBuiltinsµ/doc/en/pgmsascdc/v_019/caspg/cas-builtins-TblOfActions.htmµProvides actions that enable server management
SAS Visual Data Mining and Machine Learningµ2021.2µCardinality Analysisµ/doc/en/pgmsascdc/v_019/casactstat/cas-cardinality-TblOfActions.htmµProvides actions for evaluating data cardinality
SAS Visual Data Mining and Machine Learningµ2021.2µCASL Serverµ/doc/en/pgmsascdc/v_019/caspg/cas-sccasl-TblOfActions.htmµProvides actions for running server-side CASL code
SAS Visual Data Mining and Machine Learningµ2021.2µClusteringµ/doc/en/pgmsascdc/v_019/casactstat/cas-clustering-TblOfActions.htmµProvides actions for clustering
SAS Visual Data Mining and Machine Learningµ2021.2µData Preprocessµ/doc/en/pgmsascdc/v_019/casanpg/cas-datapreprocess-TblOfActions.htmµProvides actions for data preprocessing and transformation
SAS Visual Data Mining and Machine Learningµ2021.2µData Science Pilotµ/doc/en/pgmsascdc/v_019/casactml/cas-datasciencepilot-TblOfActions.htmµ"Provides actions for automating data science workflows, including automatic machine
               learning pipeline exploration, execution and ranking."
SAS Visual Data Mining and Machine Learningµ2021.2µData Shapingµ/doc/en/pgmsascdc/v_019/casanpg/cas-datashaping-TblOfActions.htmµProvides actions for reshaping wide or long tables.
SAS Visual Data Mining and Machine Learningµ2021.2µDATA Stepµ/doc/en/pgmsascdc/v_019/caspg/cas-datastep-TblOfActions.htmµProvides actions for running a SAS DATA step
SAS Visual Data Mining and Machine Learningµ2021.2µDecision Treeµ/doc/en/pgmsascdc/v_019/casanpg/cas-decisiontree-TblOfActions.htmµ"Provides actions for modeling and scoring with decision trees, forests, and gradient
               boosting"
SAS Visual Data Mining and Machine Learningµ2021.2µDeep Learningµ/doc/en/pgmsascdc/v_019/casdlpg/cas-deeplearn-TblOfActions.htmµ"Provides a superset of actions for modeling and scoring with deep neural (DNN), convolutional
               (CNN), and recurrent (RNN) networks"
SAS Visual Data Mining and Machine Learningµ2021.2µDeep Neural Networkµ/doc/en/pgmsascdc/v_019/casdlpg/cas-deepneural-TblOfActions.htmµ"Provides actions for modeling and scoring with fully connected deep neural networks
               (DNN)"
SAS Visual Data Mining and Machine Learningµ2021.2µDimension Reductionµ/doc/en/pgmsascdc/v_019/casactstat/cas-varreduce-TblOfActions.htmµProvides actions for performing supervised and unsupervised dimension reduction
SAS Visual Data Mining and Machine Learningµ2021.2µDistribution System Simulationµ/doc/en/pgmsascdc/v_019/casactstat/cas-simsystem-TblOfActions.htmµProvides actions for simulating data from systems of distributions
SAS Visual Data Mining and Machine Learningµ2021.2µDS2µ/doc/en/pgmsascdc/v_019/caspg/cas-ds2-TblOfActions.htmµProvides actions for preparing and executing DS2 programs
SAS Visual Data Mining and Machine Learningµ2021.2µDuplicate Managementµ/doc/en/pgmsascdc/v_019/caspg/cas-deduplication-TblOfActions.htmµProvides an action for managing rows within groups
SAS Visual Data Mining and Machine Learningµ2021.2µExplain Modelµ/doc/en/pgmsascdc/v_019/casactml/cas-explainmodel-TblOfActions.htmµProvides actions for explaining already trained models.
SAS Visual Data Mining and Machine Learningµ2021.2µFactorization Machineµ/doc/en/pgmsascdc/v_019/casactml/cas-factmac-TblOfActions.htmµProvides actions for factorization machines
SAS Visual Data Mining and Machine Learningµ2021.2µFair AI Toolsµ/doc/en/pgmsascdc/v_019/casactml/cas-fairaitools-TblOfActions.htmµProvides action for calculating bias metrics for predictive models.
SAS Visual Data Mining and Machine Learningµ2021.2µFast k-Nearest Neighborµ/doc/en/pgmsascdc/v_019/casactml/cas-fastknn-TblOfActions.htmµProvides actions for the k-nearest neighbor algorithm
SAS Visual Data Mining and Machine Learningµ2021.2µFCMPµ/doc/en/pgmsascdc/v_019/caspg/cas-fcmpact-TblOfActions.htmµProvides actions that add and run FCMP code
SAS Visual Data Mining and Machine Learningµ2021.2µFedSQLµ/doc/en/pgmsascdc/v_019/caspg/cas-fedsql-TblOfActions.htmµProvides actions for submitting SQL statements
SAS Visual Data Mining and Machine Learningµ2021.2µFrequency and Crosstabulation Analysisµ/doc/en/pgmsascdc/v_019/casactstat/cas-freqtab-TblOfActions.htmµProvides actions for performing frequency and crosstabulation analysis
SAS Visual Data Mining and Machine Learningµ2021.2µGeneralized Additive Modelsµ/doc/en/pgmsascdc/v_019/casactstat/cas-gam-TblOfActions.htmµProvides actions for fitting Generalized Additive Models
SAS Visual Data Mining and Machine Learningµ2021.2µGeneralized Linear Multitask Learningµ/doc/en/pgmsascdc/v_019/casactml/cas-gleam-TblOfActions.htmµ"Implements generalized linear multitask learning and solves multiple related sparse
               linear regression problems simultaneously"
SAS Visual Data Mining and Machine Learningµ2021.2µGenerative Adversarial Network Action Setµ/doc/en/pgmsascdc/v_019/casactml/cas-generativeadversarialnet-TblOfActions.htmµProvides actions for training generative adversarial network models.
SAS Visual Data Mining and Machine Learningµ2021.2µGraph-Based Semisupervised Learningµ/doc/en/pgmsascdc/v_019/casactml/cas-graphsemisuplearn-TblOfActions.htmµProvides actions for graph-based semisupervised learning
SAS Visual Data Mining and Machine Learningµ2021.2µGraphical Variable Clusteringµ/doc/en/pgmsascdc/v_019/casactml/cas-gvarcluster-TblOfActions.htmµ"Provides an action for performing variable clustering and providing undirected network
               for mining relationship among variables"
SAS Visual Data Mining and Machine Learningµ2021.2µHypergroupµ/doc/en/pgmsascdc/v_019/casanpg/cas-hypergroup-TblOfActions.htmµ"hyperGroup: Find hypergroups, graph layouts, colors, communities, centralities, shortests
               paths, and create structural and nBody graphs. thePlotThickens: used to scatter-plot
               or geo-cluster a large number of points."
SAS Visual Data Mining and Machine Learningµ2021.2µImageµ/doc/en/pgmsascdc/v_019/casactml/cas-image-TblOfActions.htmµProvides actions for image processing
SAS Visual Data Mining and Machine Learningµ2021.2µIndependent Component Analysisµ/doc/en/pgmsascdc/v_019/casactstat/cas-ica-TblOfActions.htmµProvides actions for performing independent component analysis
SAS Visual Data Mining and Machine Learningµ2021.2µKernel Principal Component Analysisµ/doc/en/pgmsascdc/v_019/casactml/cas-kernelpca-TblOfActions.htmµProvides actions for kernel principal component analysis
SAS Visual Data Mining and Machine Learningµ2021.2µLanguage Modelµ/doc/en/pgmsascdc/v_019/casactml/cas-langmodel-TblOfActions.htmµProvides actions that are used for language models in speech-to-text systems.
SAS Visual Data Mining and Machine Learningµ2021.2µLight Gradient Boostingµ/doc/en/pgmsascdc/v_019/casactml/cas-lightgradboost-TblOfActions.htmµProvides actions for performing light gradient boosting.
SAS Visual Data Mining and Machine Learningµ2021.2µMachine Learning for Sparse Dataµ/doc/en/pgmsascdc/v_019/casactml/cas-sparseml-TblOfActions.htmµProvides actions for sparse data learning
SAS Visual Data Mining and Machine Learningµ2021.2µMachine Learning Toolsµ/doc/en/pgmsascdc/v_019/casactml/cas-mltools-TblOfActions.htmµProvides utility actions for machine learning
SAS Visual Data Mining and Machine Learningµ2021.2µMixed Modelingµ/doc/en/pgmsascdc/v_019/casactstat/cas-mixed-TblOfActions.htmµProvides actions for fitting mixed models
SAS Visual Data Mining and Machine Learningµ2021.2µModel Publishing and Scoringµ/doc/en/pgmsascdc/v_019/casanpg/cas-modelpublishing-TblOfActions.htmµ"Provides actions to support DATA step and DS2 model publishing and scoring in CAS
               and in external databases"
SAS Visual Data Mining and Machine Learningµ2021.2µModel-Based Clusteringµ/doc/en/pgmsascdc/v_019/casactstat/cas-mbc-TblOfActions.htmµProvides actions for performing model-based clustering
SAS Visual Data Mining and Machine Learningµ2021.2µNetworkµ/doc/en/pgmsascdc/v_019/casactml/cas-network-TblOfActions.htmµProvides actions for network analysis
SAS Visual Data Mining and Machine Learningµ2021.2µNeural Networkµ/doc/en/pgmsascdc/v_019/casactml/cas-neuralnet-TblOfActions.htmµProvides actions for training and scoring artificial neural networks
SAS Visual Data Mining and Machine Learningµ2021.2µNonlinear Modelsµ/doc/en/pgmsascdc/v_019/casactstat/cas-nonlinear-TblOfActions.htmµProvides actions for fitting nonlinear models
SAS Visual Data Mining and Machine Learningµ2021.2µNonnegative Matrix Factorizationµ/doc/en/pgmsascdc/v_019/casactstat/cas-nmf-TblOfActions.htmµProvides actions for performing nonnegative matrix factorization
SAS Visual Data Mining and Machine Learningµ2021.2µNonparametric Bayesµ/doc/en/pgmsascdc/v_019/casactml/cas-nonparametricbayes-TblOfActions.htmµNonparametric Bayes
SAS Visual Data Mining and Machine Learningµ2021.2µPartial Least Squaresµ/doc/en/pgmsascdc/v_019/casactstat/cas-pls-TblOfActions.htmµProvides actions for fitting reduced-rank linear models, including partial least squares
SAS Visual Data Mining and Machine Learningµ2021.2µPercentileµ/doc/en/pgmsascdc/v_019/casanpg/cas-percentile-TblOfActions.htmµProvides actions for calculating percentiles, boxplot values, and assessing models
SAS Visual Data Mining and Machine Learningµ2021.2µPrincipal Component Analysisµ/doc/en/pgmsascdc/v_019/casactstat/cas-pca-TblOfActions.htmµProvides actions for performing principal component analysis
SAS Visual Data Mining and Machine Learningµ2021.2µProportional Hazards Regression Modelingµ/doc/en/pgmsascdc/v_019/casactstat/cas-phreg-TblOfActions.htmµProvides actions for fitting proportional hazards model
SAS Visual Data Mining and Machine Learningµ2021.2µQuantile Regression Modelingµ/doc/en/pgmsascdc/v_019/casactstat/cas-quantreg-TblOfActions.htmµProvides actions for performing quantile regression
SAS Visual Data Mining and Machine Learningµ2021.2µRecommender Systemµ/doc/en/pgmsascdc/v_019/casanpg/cas-recommend-TblOfActions.htmµProvides actions for building a recommender system
SAS Visual Data Mining and Machine Learningµ2021.2µRecurrent Neural Networkµ/doc/en/pgmsascdc/v_019/casdlpg/cas-deeprnn-TblOfActions.htmµ"Provides actions for modeling and scoring with deep recurrent neural networks (RNN)
               with raw text inputs"
SAS Visual Data Mining and Machine Learningµ2021.2µRegressionµ/doc/en/pgmsascdc/v_019/casactstat/cas-regression-TblOfActions.htmµProvides actions for fitting linear, generalized linear, and logistic models
SAS Visual Data Mining and Machine Learningµ2021.2µReinforcement Learningµ/doc/en/pgmsascdc/v_019/casrlpg/cas-reinforcementlearn-TblOfActions.htmµProvides actions for building, training, and scoring reinforcement learning models
SAS Visual Data Mining and Machine Learningµ2021.2µRisk Modeling and Decisioningµ/doc/en/pgmsascdc/v_019/casactml/cas-riskmd-TblOfActions.htmµProvides actions for risk modeling and decisioning
SAS Visual Data Mining and Machine Learningµ2021.2µRobust PCAµ/doc/en/pgmsascdc/v_019/casactml/cas-robustpca-TblOfActions.htmµ"Provides actions for robust principal component analysis (RPCA) and moving windows
               principal component analysis (MWPCA)"
SAS Visual Data Mining and Machine Learningµ2021.2µSampling and Partitioningµ/doc/en/pgmsascdc/v_019/casactstat/cas-sampling-TblOfActions.htmµProvides actions for sampling and partitioning of data
SAS Visual Data Mining and Machine Learningµ2021.2µSAS Embedded Process for Sparkµ/doc/en/pgmsascdc/v_019/casanpg/cas-sparkembeddedprocess-TblOfActions.htmµ"Provides actions for interacting with the SAS Embedded Process for Spark continuous
               session"
SAS Visual Data Mining and Machine Learningµ2021.2µSearchµ/doc/en/pgmsascdc/v_019/casanpg/cas-search-TblOfActions.htmµ"Provides actions for indexing structured and unstructured data, querying against an
               index, and performing aggregations on an index"
SAS Visual Data Mining and Machine Learningµ2021.2µSentiment Analysisµ/doc/en/pgmsascdc/v_019/casanpg/cas-sentimentanalysis-TblOfActions.htmµProvides actions for the SAS Sentiment Analysis Application in CAS
SAS Visual Data Mining and Machine Learningµ2021.2µSequence Rule Miningµ/doc/en/pgmsascdc/v_019/casanpg/cas-sequence-TblOfActions.htmµProvides actions for sequence rule mining
SAS Visual Data Mining and Machine Learningµ2021.2µServer Propertiesµ/doc/en/pgmsascdc/v_019/caspg/cas-configuration-TblOfActions.htmµProvides actions for managing server options
SAS Visual Data Mining and Machine Learningµ2021.2µSession Methodsµ/doc/en/pgmsascdc/v_019/caspg/cas-session-TblOfActions.htmµProvides actions to display session information and manage sessions
SAS Visual Data Mining and Machine Learningµ2021.2µSession Propertiesµ/doc/en/pgmsascdc/v_019/caspg/cas-sessionprop-TblOfActions.htmµProvides actions for managing session properties
SAS Visual Data Mining and Machine Learningµ2021.2µSimple Analyticsµ/doc/en/pgmsascdc/v_019/casanpg/cas-simple-TblOfActions.htmµProvides actions for performing basic analytic functions
SAS Visual Data Mining and Machine Learningµ2021.2µSparse Regressionµ/doc/en/pgmsascdc/v_019/casactstat/cas-sandwich-TblOfActions.htmµProvides action for fitting sparse regression models
SAS Visual Data Mining and Machine Learningµ2021.2µStatistical Process Controlµ/doc/en/pgmsascdc/v_019/casactstat/cas-spc-TblOfActions.htmµProvides actions for control chart analysis
SAS Visual Data Mining and Machine Learningµ2021.2µSupport Vector Data Descriptionµ/doc/en/pgmsascdc/v_019/casactml/cas-svdatadescription-TblOfActions.htmµProvides actions for anomaly detection
SAS Visual Data Mining and Machine Learningµ2021.2µSupport Vector Machineµ/doc/en/pgmsascdc/v_019/casactml/cas-svm-TblOfActions.htmµProvides actions for support vector machines
SAS Visual Data Mining and Machine Learningµ2021.2µt-Distributed Stochastic Neighbor Embeddingµ/doc/en/pgmsascdc/v_019/casactml/cas-tsne-TblOfActions.htmµProvides actions for the t-distributed stochastic neighbor embedding algorithm
SAS Visual Data Mining and Machine Learningµ2021.2µTableµ/doc/en/pgmsascdc/v_019/caspg/cas-table-TblOfActions.htmµProvides actions for accessing and managing data
SAS Visual Data Mining and Machine Learningµ2021.2µText Miningµ/doc/en/pgmsascdc/v_019/casactml/cas-textmining-TblOfActions.htmµProvides actions for mining textual data
SAS Visual Data Mining and Machine Learningµ2021.2µTransposeµ/doc/en/pgmsascdc/v_019/caspg/cas-transpose-TblOfActions.htmµProvides actions for transposing data
SAS IMLµ2021.2µIMLµ/doc/en/pgmsascdc/v_019/casactiml/cas-iml-TblOfActions.htmµProvides actions for submitting SAS/IML programs.
SAS Visual Statisticsµ2021.2µAccess Controlµ/doc/en/pgmsascdc/v_019/caspg/cas-accesscontrol-TblOfActions.htmµProvides actions for managing user access to resources
SAS Visual Statisticsµ2021.2µAggregationµ/doc/en/pgmsascdc/v_019/casanpg/cas-aggregation-TblOfActions.htmµProvides actions for aggregating the values of one or more variables
SAS Visual Statisticsµ2021.2µBuiltinsµ/doc/en/pgmsascdc/v_019/caspg/cas-builtins-TblOfActions.htmµProvides actions that enable server management
SAS Visual Statisticsµ2021.2µCardinality Analysisµ/doc/en/pgmsascdc/v_019/casactstat/cas-cardinality-TblOfActions.htmµProvides actions for evaluating data cardinality
SAS Visual Statisticsµ2021.2µCASL Serverµ/doc/en/pgmsascdc/v_019/caspg/cas-sccasl-TblOfActions.htmµProvides actions for running server-side CASL code
SAS Visual Statisticsµ2021.2µClusteringµ/doc/en/pgmsascdc/v_019/casactstat/cas-clustering-TblOfActions.htmµProvides actions for clustering
SAS Visual Statisticsµ2021.2µData Preprocessµ/doc/en/pgmsascdc/v_019/casanpg/cas-datapreprocess-TblOfActions.htmµProvides actions for data preprocessing and transformation
SAS Visual Statisticsµ2021.2µData Shapingµ/doc/en/pgmsascdc/v_019/casanpg/cas-datashaping-TblOfActions.htmµProvides actions for reshaping wide or long tables.
SAS Visual Statisticsµ2021.2µDATA Stepµ/doc/en/pgmsascdc/v_019/caspg/cas-datastep-TblOfActions.htmµProvides actions for running a SAS DATA step
SAS Visual Statisticsµ2021.2µDecision Treeµ/doc/en/pgmsascdc/v_019/casanpg/cas-decisiontree-TblOfActions.htmµ"Provides actions for modeling and scoring with decision trees, forests, and gradient
               boosting"
SAS Visual Statisticsµ2021.2µDimension Reductionµ/doc/en/pgmsascdc/v_019/casactstat/cas-varreduce-TblOfActions.htmµProvides actions for performing supervised and unsupervised dimension reduction
SAS Visual Statisticsµ2021.2µDistribution System Simulationµ/doc/en/pgmsascdc/v_019/casactstat/cas-simsystem-TblOfActions.htmµProvides actions for simulating data from systems of distributions
SAS Visual Statisticsµ2021.2µDS2µ/doc/en/pgmsascdc/v_019/caspg/cas-ds2-TblOfActions.htmµProvides actions for preparing and executing DS2 programs
SAS Visual Statisticsµ2021.2µDuplicate Managementµ/doc/en/pgmsascdc/v_019/caspg/cas-deduplication-TblOfActions.htmµProvides an action for managing rows within groups
SAS Visual Statisticsµ2021.2µFCMPµ/doc/en/pgmsascdc/v_019/caspg/cas-fcmpact-TblOfActions.htmµProvides actions that add and run FCMP code
SAS Visual Statisticsµ2021.2µFedSQLµ/doc/en/pgmsascdc/v_019/caspg/cas-fedsql-TblOfActions.htmµProvides actions for submitting SQL statements
SAS Visual Statisticsµ2021.2µFrequency and Crosstabulation Analysisµ/doc/en/pgmsascdc/v_019/casactstat/cas-freqtab-TblOfActions.htmµProvides actions for performing frequency and crosstabulation analysis
SAS Visual Statisticsµ2021.2µGeneralized Additive Modelsµ/doc/en/pgmsascdc/v_019/casactstat/cas-gam-TblOfActions.htmµProvides actions for fitting Generalized Additive Models
SAS Visual Statisticsµ2021.2µHypergroupµ/doc/en/pgmsascdc/v_019/casanpg/cas-hypergroup-TblOfActions.htmµ"hyperGroup: Find hypergroups, graph layouts, colors, communities, centralities, shortests
               paths, and create structural and nBody graphs. thePlotThickens: used to scatter-plot
               or geo-cluster a large number of points."
SAS Visual Statisticsµ2021.2µIndependent Component Analysisµ/doc/en/pgmsascdc/v_019/casactstat/cas-ica-TblOfActions.htmµProvides actions for performing independent component analysis
